Entity,Year,Code,Renewables (% equivalent primary energy),increase,world_avg,world_avg_diff,world_avg_change,Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Solar (% equivalent primary energy),Other Renewables (% equivalent primary energy),Hydro (% renewable),Wind (% renewable),Solar (% renewable),Others (% renewable)
Algeria,1965,DZA,4.7630677,0.0,6.4545183,-1.6914506000000005,12.29859025,4.7630677,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Argentina,1965,ARG,1.1027236,0.0,6.4545183,-5.3517947,14.129202300000003,1.1027236,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Australia,1965,AUS,5.5626216,0.0,6.4545183,-0.8918967000000002,4.359454799999999,5.340691,0.0,0.0,0.2219306000000003,96.0,0.0,0.0,4.0
Austria,1965,AUT,25.096407,0.0,6.4545183,18.6418887,13.232966000000001,25.096407,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Belgium,1965,BEL,0.19477375,0.0,6.4545183,-6.25974455,4.77529137,0.19477375,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Brazil,1965,BRA,27.548721,0.0,6.4545183,21.0942027,19.846573,27.548721,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Bulgaria,1965,BGR,4.9313707,0.0,6.4545183,-1.5231475999999997,6.0087565,4.9313707,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Canada,1965,CAN,25.138649,0.0,6.4545183,18.6841307,8.412174499999995,25.138649,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Chile,1965,CHL,16.010857,0.0,6.4545183,9.556338700000001,18.0777173,16.010857,0.0,0.0,0.0,100.0,0.0,0.0,0.0
China,1965,CHN,4.253407,0.0,6.4545183,-2.2011113,5.2051462,4.253407,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Colombia,1965,COL,11.788209,0.0,6.4545183,5.3336907,22.133817300000004,11.788209,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Cyprus,1965,CYP,0.0,0.0,6.4545183,-6.4545183,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Czechia,1965,CZE,1.4077873,0.0,6.4545183,-5.046731,2.7215643,1.4077873,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Denmark,1965,DNK,0.04447716,0.0,6.4545183,-6.410041140000001,33.035503500000004,0.04447716,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Ecuador,1965,ECU,8.505215,0.0,6.4545183,2.0506966999999996,24.218186200000005,8.505215,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Egypt,1965,EGY,5.5878944,0.0,6.4545183,-0.8666239000000004,18.4334834,5.5878944,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Finland,1965,FIN,23.966585,0.0,6.4545183,17.5120667,16.531090499999998,23.966585,0.0,0.0,0.0,100.0,0.0,0.0,0.0
France,1965,FRA,10.584984,0.0,6.4545183,4.1304657,7.289503599999999,10.584984,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Germany,1965,DEU,1.614503,0.0,6.4545183,-4.8400153,13.738955599999997,1.614503,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Greece,1965,GRC,2.9926248,0.0,6.4545183,-3.4618935,11.283015099999998,2.9926248,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hong Kong,1965,HKG,0.0,0.0,6.4545183,-6.4545183,7.364726736000001,0.0,0.0,0.0,0.0,,,,
Hungary,1965,HUN,0.11989386,0.0,6.4545183,-6.33462444,2.3947443900000005,0.11989386,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Iceland,1965,ISL,24.983986,0.0,6.4545183,18.5294677,57.618531399999995,24.983986,0.0,0.0,0.0,100.0,0.0,0.0,0.0
India,1965,IND,9.149455,0.0,6.4545183,2.6949366999999995,12.489061999999999,9.149455,0.0,0.0,0.0,100.0,0.0,0.0,0.0
